id_iniciativa,ruta_iniciativa,ruta_decreto
1140,,storage/decretos/ACUERDO 1.pdf
1141,storage/iniciativas/2-OFIC-LICEN-TEMP-ELENA-PM.pdf,storage/decretos/ACUERDO 2.pdf
1142,storage/iniciativas/3-OFIC-LICEN-TEMP-GUTIERREZ-PM.pdf,storage/decretos/ACUERDO 3.pdf
1,storage/iniciativas/1-INI-JUCOPO.doc,storage/decretos/DECRETO 1.pdf
1143,storage/iniciativas/4-MINUTA-CPEUM-PJUDICIAL.pdf,storage/decretos/ACUERDO 4-minuta.pdf
1144,,storage/decretos/ACUERDO 5.pdf
2,storage/iniciativas/1-3-OF-TABLAS DE VALOR 2025-19-SEP-24.doc,storage/decretos/DECRETO 54.pdf
3,storage/iniciativas/1-3-OF-TABLAS DE VALOR 2025-19-SEP-24.doc,storage/decretos/DECRETO 54.pdf
4,storage/iniciativas/1-3-OF-TABLAS DE VALOR 2025-19-SEP-24.doc,storage/decretos/DECRETO 54.pdf
5,storage/iniciativas/3-RENUNC-MAGISTRADO-oficio.pdf,storage/decretos/Dec. 7.pdf
6,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
7,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
8,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
9,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
10,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
11,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
12,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
13,storage/iniciativas/4-12-OF-TABLAS DE VALOR 2025-26-SEP-24.doc,storage/decretos/DECRETO 54.pdf
