folio,bandera,tipo_evento,fecha_evento,texto_iniciativa
18,Revisar: texto bajo,Estudio,2024-11-20,Iniciativa con Proyecto de Decreto por el que se adiciona una fracción XVIII al artículo 30 de la Ley de Igualdad de Trato y Oportunidades entre Mujeres y Hombres del Estado de México.
20,Revisar: familia ambigua,Dictamen,2026-04-08,"Iniciativa con Proyecto de Decreto por la que se expide la Ley de Salud Mental del Estado de México, la Ley Estatal de Prevención, Atención y Posvención del Suicidio, así como la Ley de Educación Emocional del Estado de México."
50,Revisar: texto bajo,Estudio,2026-02-24,"Iniciativa con Proyecto de Decreto, por medio de la cual se abroga en su totalidad el Libro Segundo “De la Salud”, del Código Administrativo del Estado de México y por medio del cual se expide “La Ley de Salud del Estado de México”."
50,Revisar: texto bajo,Dictamen,2026-04-08,"Iniciativa con Proyecto de Decreto, por medio de la cual se abroga en su totalidad el Libro Segundo “De la Salud”, del Código Administrativo del Estado de México y por medio del cual se expide “La Ley de Salud del Estado de México”."
51,Revisar: familia ambigua,Dictamen,2024-12-17,"Iniciativa con Proyecto de Decreto por el que se reforma y adicionan diversas disposiciones de la Ley de los Derechos de Niñas, Niños y Adolescentes del Estado de México."
161,Revisar: texto bajo,Estudio,2025-09-11,Iniciativa con Proyecto de Decreto por el que se reforma la Ley Orgánica y el Reglamento del Poder Legislativo del Estado Libre y Soberano de México.
161,Revisar: texto bajo,Estudio,2025-10-15,Iniciativa con Proyecto de Decreto por el que se reforma la Ley Orgánica y el Reglamento del Poder Legislativo del Estado Libre y Soberano de México.
173,Revisar: texto bajo,Estudio,2025-02-04,"Iniciativa con proyecto de Decreto por el que se reforma el artículo 2.42 adicionando la fracción VI, se adiciona la fracción IV del artículo 2.49, se reforma la fracción II del artículo 2.50, se adiciona la fracción IV del artículo 2.53, se reforma la fracción VI del artículo 2.54; todos del Código para la Biodiversidad del Estado de México. De igual manera se reforma la fracción III del artículo 5.2, se adiciona un párrafo al artículo 5.16, se adiciona el inciso g) de la fracción VII del artículo 5.26; todos del Código Administrativo del Estado de México."
182,Revisar: texto bajo,Dictamen,2026-03-23,Iniciativa con proyecto de decreto por el que se propone adicionar la fracción IX del artículo 25 y se reforma el párrafo primero y segundo de la Ley de Coordinación Fiscal así como la expedición de la Ley del Fondo Metropolitano.
210,Revisar: texto bajo,Dictamen,2025-11-25,"Iniciativa con Proyecto de Decreto por el que se adiciona un último párrafo al artículo 5 de la Constitución Política del Estado Libre y Soberano de México, al mismo tiempo, se reforma el artículo 17 de la Ley de la Juventud del Estado de México."
