folio,texto,fecha_presentacion,score_presentacion,agenda_presentacion_id,punto_presentacion_id,num_ramas_nivel1,via,expediente_id,punto_destino_id,tipo_evento_real,fecha_real_destino,fecha_evento_excel,status_destino,cierre_encontrado,fecha_cierre_real,fecha_aprobacion_excel,estado_excel,confianza
1,"Iniciativa con Propuesta y Proyecto de Decreto sobre integra",2024-09-05,0.730,2,19,0,,,,,,,,no,,2024-09-05,Aprobada,media
2,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-19,0.535,5,28,9,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
3,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-19,0.535,5,28,9,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
4,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-19,0.535,5,28,9,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
5,"Escrito de renuncia de Vicente Guadarrama García, al cargo d",2024-09-26,0.481,6,35,0,,,,,,,,no,,2024-09-26,Aprobada,baja
6,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
7,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
8,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
9,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
10,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
11,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
12,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
13,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
14,"Tablas de Valores Unitarios de Suelo y Construcciones para e",2024-09-26,0.589,6,36,27,expediente,121,1736,Comisión,2024-10-30,2024-10-30,1,no,,2024-11-12,Aprobada,alta
15,"Iniciativa de Decreto por la que se Designa a la Persona Tit",2024-10-08,0.654,7,46,0,,,,,,,,no,,2024-10-08,Aprobada,media
16,"Iniciativa con Proyecto de Decreto por el que se reforman lo",2024-10-08,0.793,7,47,0,,,,,,,,no,,,En estudio,media
17,"Iniciativa al Congreso de la Unión por el que se reforman di",2024-10-08,0.625,7,48,1,directo,,2342,Comisión,2025-10-28,2025-10-28,1,no,,2025-11-12,Aprobada,alta
